caseid,unique.id,year,year_1984,year_1988,year_1992,year_1996,year_2000,year_2004,year_2008,year_2012,year_2016,year_2020,weight.combined,mode,age.18.39,age.40.64,age.64.plus,pid7,pid3,pid.rep,pid.dem,pid.pureind,pid.leaner,pid.strong,pid.weak,race,race.white,race.black,race.other,female,college,pol.int,ideo7,trust,dislikeanything.rep,repdislikes,replikes.orig,dislikeanything.dem,demdislikes,demlikes.orig
14,14,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,1,1,5,67,0,NA,"Their conservative approach in moral and economic issues--abortion, prayer in school, fiscal responsibility",0,NA,NA
15,15,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,1,6,29,1,In some ways they have given capitalism a few loopholes that need to be closed in all fairness I cant see some of the huge salaries for corporation presidents and the workers not getting as much as they could,I like their  conservative altitude towards cutting government spending and trying to turn more control over to the State and the county.,1,They are too liberal The welfare state got out of hand I feel its been too much of a handout to minorities,I like their concern for the minorities as a whole.  Their concern on the nuclear issues.  I'm very strong on women having equal opportunities but I'm not for E.R.A.  I just don't think it's necessary.
16,16,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,0,1,9,29,1,They sound so arrogant I couldnt make head or tails of their convention It was just one big party and they never got down to issues,NA,0,NA,NA
17,17,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,0,1,1,4,67,0,NA,NA,0,NA,NA
18,18,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,9,42,0,NA,NA,0,NA,NA
19,19,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.666666667,9,42,1,What they do They could have done better If they had done something else things might have been in better shape,NA,0,NA,I was just raised as a Democrat.  They come near doing what's right than the Republicans.
20,20,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,0,0,0.333333333,9,46,0,NA,NA,0,NA,NA
21,21,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,1,1,2,33,1,Their lack of compassion for underprivileged people and for minorities They are helping the moderately welltodo and the wealthy who are getting richer This seems to be their aim Their Trickle down theory of economy is demeaning,NA,0,NA,I have always felt the Democrats care about all the people.  I believe they do a better job of foreign relations.  They do a better job with the national economy.
22,22,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,1,9,29,1,Theyre for the rich instead of the poor,NA,0,NA,They are for the poor.  Don't think they would spend a lot of money fixing the White House--new dishes and furniture that's not necessary.
23,23,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,1,5,8,0,NA,"They are conservative and I am a conservative person.  I think they are more for the individual.  Individual enterprise.  Give the individual a break if they want it, not all government run things.",0,NA,NA
24,24,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.666666667,9,33,0,NA,NA,0,NA,NA
25,25,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.666666667,4,42,0,NA,"It's a strong, solid party.",1,For this election theres no backbone in the party The 3 candidates that they are running before the Democratic convention might have had a better chance of winning if they werent Democrats If they were running on independent tickets The nation is looking for a leader instead of putting a party in office,NA
26,26,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,1,0.666666667,4,33,1,The trouble with tight ships is that it can veer into elitism The Republican party has to constantly work at staying in touch with the majority of Americans which I think it is doing right now,Its organization.  They run a tight ship.,1,Its lack of organization lack of focus,"It has a wide variety of people in it.  It just goes to show you can turn race, creed or religion into a political hack."
27,27,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,0,0.666666667,4,NA,0,NA,NA,0,NA,NA
28,28,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.666666667,6,0,0,NA,NA,0,NA,NA
29,29,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,1,1,2,29,1,Its more upper class the better off billionaire types Too pro business Slow to react In any given situation it takes too long to come up with a solution to a problem Its afraid of new situations Stuck in its ways Minorities not well represented The party is against era The party believes that business should have free reign little government control,NA,0,NA,More liberal.  More homogeneous.  Representative of the whole country.  It tends to be made up of the middle class.  More down to earth.  More idealistic.
30,30,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,1,0.666666667,5,21,0,NA,Generally more conservative and business oriented.,1,Liberal aspects Republicans closer to my conservative nature Government programs involving government spending Liberal philosophy which I dont like,NA
31,31,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.666666667,9,29,1,Their foreign policy Every Republican has the same foreign policy basically It seems like when things get bad they get something going with some foreign country and then we make lots of weapons and planes and get the economy running that way That means high defense spending and they take it out of other programs for the people,NA,1,When things get better and the economy is back they dont like to stop their programs Then everything gets abused,"Whenever the economy is bad and people are out of work, the Democrats come up with something that will help--like the C.C.C. camps in the depression.  They seem to be more for the people than the Republicans."
32,32,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,1,0.666666667,4,8,1,They are too strongly oriented toward big business Those that have get during the Republican administration They in the case of Reagan go overboard in cutting the social programs so that it hurts people who really do need help,NA,1,Sometimes they are a little too liberal They go a little bit overboard on social programs They give a little bit too much of our money to the people who are not working who could work then they should,They tend to be more oriented toward the working middle class.  I seems that the working middle class has prospered more during this administration.
33,33,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.333333333,9,NA,NA,NA,NA,NA,NA,NA
34,34,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,1,5,0,1,I dont like the fact that theyve been so slow and wasted 4 years and accomplished no more than they have I guess I expected a miracle probably a lot of other people did,They're trying to do away with the welfare state.  Make people work for themselves and to become their own person again.  They're trying to do away with a lot of these freebie grants.  They're trying to do away with a lot of the wasted money.,1,If the Democratic party were in or were to go in we would be in war very shortly Feel we would have a welfare state even greater than we have now Wed have higher taxes The economy would be poorer prices higher,NA
35,35,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.333333333,6,29,0,NA,They are conservative and that's the way I'm leaning.  Military strength and economic policies such as the I.R.A.s.,1,Basically too liberal In the past they have been founder of the Great Society People should work Welfare recipients should work if they are physically able for what they get,NA
36,36,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.333333333,9,67,0,NA,Been Republican all life.,0,NA,NA
37,37,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,0,0,0.333333333,4,33,0,NA,NA,0,NA,NA
38,38,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.333333333,6,79,0,NA,NA,0,NA,NA
39,39,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,9,54,0,NA,NA,0,NA,NA
40,40,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.333333333,9,29,0,NA,They seem to be more for helping the lower class people.,0,NA,NA
41,41,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,1,9,72,0,NA,NA,0,NA,NA
42,42,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,1,Democrat,0,1,0,0,1,0,2,0,1,0,1,0,1,9,NA,0,NA,NA,0,NA,NA
43,43,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,1,9,29,1,Theyre not for the poor Theyre for the rich,NA,0,NA,I have a perfect voting record.  I've voted for the right man all my life and just love Democrats.  I've always had help.  For example Roosevelt formed unions and brought us out of the great depression and then this guy is trying to break the unions.  Look what he did to air controllers.  The Democrats favor the poor and the underdog.  They're noted for that.
44,44,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.666666667,6,8,0,NA,"I agree 90% with their overall values--abortion, women's rights, religion, gun control, defense.",1,Theyre for gun control and they seem to give too many freebies to people that dont really need it Its just that they dont want to work for it,NA
45,45,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.333333333,9,NA,0,NA,NA,0,NA,NA
46,46,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.666666667,9,NA,0,NA,The way they are handling the affairs.  They're doing a good job.,0,NA,NA
47,47,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,1,3,NA,1,Little too class conscious Too many rich and elite people who in power tend to use it for their own good,The way they handle economics.  I'm conservative in economic issues.,1,They dont seem to do well in running the country economically When it comes to foreign relationsa little too dovish,They tend to strive for equality.  They tend to care more about lower and middle classes.  They have more liberal view toward social issues.
48,48,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,1,1,3,54,1,Their attitude toward the poor If you work hard you can succeed Thats not always true Its just their general attitude toward the poor I dont share I dont agree about the enormous amount of defensive weapons they consider necessary,NA,1,It tries so hard to represent the common folk that it negates some possibility of intellectual challenge and study That sounds snobbish It doesnt encourage its members to come out of the 1932 Democratic party and the depression Im sick of hearing about the depression Come into the 1980s and deal with todays challenges But thats not true exactly because John F Kennedy was a phenomenal intellect but he led the party in a different way than its being led today,Their tradition of openness to everybody.  Just about everybody will be comfortable somewhere in the Democratic party.
49,49,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,1,0.666666667,4,58,0,NA,NA,0,NA,NA
50,50,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,0,0.666666667,5,NA,0,NA,NA,0,NA,NA
51,51,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,3,Democrat,0,1,0,1,0,0,2,0,1,0,0,0,0.333333333,4,33,1,Theyre stuck on the higher class and not worried about the lower class The rich get richer and the poor get poorer,NA,0,NA,They aren't war headed.  I feel that they would help the people in the country better because they are not greedy.
52,52,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.333333333,9,8,0,NA,NA,1,They say they are going to do something but dont All you get are unanswered promises from the people in power,NA
53,53,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,2,0,1,0,0,0,0.333333333,9,56,0,NA,NA,0,NA,NA
54,54,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,7,Republican,1,0,0,0,1,0,1,1,0,0,1,1,0.666666667,6,54,0,NA,"Their main leader, Reagan, and most of their stands at the Republican convention.  I do believe women have important positions in government because of the Republican party.",1,The tax issue They always seem to raise taxes to solve problems None of the leaders seem strong or forceful enough,NA
55,55,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.333333333,9,79,0,NA,NA,0,NA,NA
56,56,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.666666667,9,67,0,NA,Little more lenient.  Would pass some bills that the Democrats won't such as interest.,0,NA,I like it because they got a woman running for vice president.
57,57,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,0,0,0.666666667,6,39,0,NA,They're conservative.,1,Theyre liberal and Im not liberal They discredit Republicans with their campaign,Their leaders are competent.
58,58,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,1,4,39,0,NA,NA,NA,NA,NA
59,59,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.666666667,4,67,0,NA,NA,0,NA,They are more for the working class.  The Republicans are more geared toward not equalizing taxes only for the rich and not for the working man.
60,60,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,0,1,3,17,0,NA,NA,0,NA,NA
61,61,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,1,6,8,1,Its going a little too far to the right but should rectify itself The infiltration of the church into the Republican party needs to be watched closely However the Republican party is up to this task and has my complete confidence not to let it get out of hand,They try to represent the great majority of the American people.  They seem to genuinely care what happens to us and to our country.,1,Trying to legalize gay rights which I consider a mental illness and should be treated as such They want to make this country a welfare state Although I was at one time a liberal and voted for people I thought were underprivileged I have seen in my public life that this was taken advantage of and not appreciated There are too many people that think the tax payers should support them because I as a liberal voter led them to believe that they did not have to work to get ahead I know of many cases of fraud and I am completely dismayed I know of people drawing unemployment that are working people drawing welfare that make more money than I do Also of non American citizens that have been given houses to live in that have low interest rates because they have lied about their income,NA
62,62,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,7,Republican,1,0,0,0,1,0,3,0,0,1,1,0,1,4,79,0,NA,"I like the vice president.  He is concerned about Latin America.  People at the head of the  Republican party are a good team--intelligent, capable, etc.  They try to make this country stronger so that our enemies respect us more.  This country has to be the leader of the world.  I like the conservativism of the Republican party.",1,They are not conscious of the vital problems that we have with communism in the Latin American countries which are so close by to US They do not recognize how dangerous it is Also many people run away from these countries to the US and how burdensome they are to the economy here They take away work that rightfully belongs to Americans Americans are concerned with what happens in their own country and do not realize how dangerous things that can happen in South America can be to North Americans When Americans are resentful they have a right to be I am opposed to the lack of morality of the Democratic party with its gay rights and all those things I am also against a woman vice president,NA
63,63,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,1,3,21,0,NA,NA,0,NA,NA
64,64,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,1,7,46,0,NA,"Their conservatism.  He's like to cut down on many entitlement.  I like it all the way through.  For instance, I think families should help their own.   helped.  The government should not give handouts to them.",1,They are too liberal,NA
65,65,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,1,0.666666667,3,42,1,Probably the unfair tax structure I associate the Republican party with tax loopholes for the rich Sometimes I feel they are too conservative They like the status quo,Strong economic policies.  They've got big business on their side.,1,Im concerned with their open arms policy toward every minority that comes along I feel they are trying to please all of the people all of the time by embracing every minority For example theyd like to have every gay vote every Black vote Im not saying thats bad but minorities can become special interest groups,"I think the inclusion of women in politics, maybe their more liberal slant toward the average American.  I don't feel they are satisfied with the status quo.  I think they'd like to change more of the inequalities."
66,66,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,5,46,0,NA,NA,0,NA,NA
67,67,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,1,9,28,0,NA,NA,0,NA,"Having always been a Democrat, I will say they always judge the candidate on what he stands on.  They don't always look at their bank accounts.  They look at their qualities.  Always seemed they were thinking about the ordinary people."
68,68,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,1,6,21,0,NA,NA,0,NA,NA
69,69,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.666666667,9,17,1,They are for the wealthy people The tax benefits and everything The way the system is set up the rich people have so many loopholes They dont pay taxes percentagewise like the middle class and poor,NA,0,NA,They are more for the middle class people and the programs they try to help the minorities and the elderly.  Probably the farmers benefit from the Democratic party--the grain and the prices for grain.  My brother tells that many small farmers are losing their farms because of the high interest rates and the cost of fertilizer and seed because it is so expensive.
70,70,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,5,Republican,1,0,0,1,0,0,2,0,1,0,1,0,0.666666667,9,8,NA,NA,The Republicans is the one that is trying to help make things a lot better.,NA,NA,NA
71,71,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,1,5,NA,1,The party is a little more conservative on social matters and is pro defense buildup than Id like to see Prayer in school antiabortion anti planned parenthood things like that,"In this campaign, their adamancy that they are not going to raise taxes to balance the national budget.",1,The party is a little more liberal than I am Their feelings of equal rights and that we have to compensate for past unequal rights They go more overboard than I would,I like the fact that they were able to accept a woman for vice presidential candidate.  I approve of their pro-choice stand on abortion.  Their concern with the elderly and with single parents.  Their concern that single parent women are slipping into the poverty level.
72,72,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,0,0,0.333333333,9,8,1,Reagan I havent got any good feelings for him,NA,0,NA,They got a good man running and a good vice president.  I like the promises Mondale makes if he keeps them.  He promised to help us out of the economic crisis.  He's trying to make friends with other countries.
73,73,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,0.666666667,4,67,1,They somewhat forget the middle classwhere the taxes come from,NA,0,NA,NA
74,74,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,5,29,1,They should be dealing with other nations better Our relations should be improved I think a way could be found to deal successfully with them without there being the threat of nuclear war,"The Republicans attempt to straighten out the budget, to improve the economy.  To improve, that is, to decrease the unemployment rate.  Their record is very good on this, although it cannot be done overnight.  It takes time to see the results.  The lowering of cost of living increases and the reduction in interest rates.",1,Their spending habits Every time a Democrat is in office there is a definite increase in spending They promise to balance the budget but instead they make it worse As they make it worse increase spending there is more money in the market resulting therefore in decreasing the value of the dollar and increasing the cost of living and making things worse again This results in raising interest rates Unemployment skyrockets,They tend to prefer peace and a discontinuation of the arms race more than the Republican party.  They want to see a slowing down of the nuclear warheads that are being put into Europe.  They seem to be strongly in favor of coming up with some form of a peace treaty with the other large nations--like China and the Soviet Union.
75,75,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,0.666666667,3,21,1,The reduction of social programs the general monetary policy that is the lack of control over interest rates I think our military intervention where we dont belongSouth and Central America and the Middle East,"Their giving powers back to the States, reducing dependence on the federal government.",1,Their lack of planning and foresight Their emphasis on only tax increases for funding programs Their whole thrust is to raise taxes to fund necessary social programs and I think there are other ways for the funding to become available Cut the waste in government and use the funds for such programs as AFDC child care programs food stamps and medical programs,"Their emphasis on providing a reasonable means of life for everyone.  Their emphasis on social programs. training programs for women, and providing child care programs so that mothers can work."
76,76,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,1,3,29,1,The party is very decisively higher in leaning toward higher income groups and corporate structures I dont agree with their foreign trade standards Very few things we buy are not from here,More of a tendency to make more decisive issues.,1,Free programs I feel everybody should work for what they get I think in recent years wishywashy stands in foreign policies assy handling on Vietnam war,It's more for the middle class people.
77,77,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,1,0.666666667,3,67,0,NA,NA,0,NA,NA
78,78,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,7,Republican,1,0,0,0,1,0,1,1,0,0,0,0,1,5,79,0,NA,Conservative views.  His policies.,0,NA,NA
79,79,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.333333333,5,17,0,NA,NA,0,NA,NA
80,80,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,0.333333333,3,71,0,NA,NA,0,NA,NA
