Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,
partyfav_israel_yeshatid,93,"Q7ISRb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Yesh Atid",Nominal,Input,26,Right,F2,F2,
partyfav_israel_raam,94,"Q7ISRc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Ra'am",Nominal,Input,22,Right,F2,F2,
partyfav_israel_unity,95,"Q7ISRd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. National Unity (State Camp)",Nominal,Input,23,Right,F2,F2,
partyfav_israel_rz,96,"Q7ISRe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. The Religious Zionism",Nominal,Input,20,Right,F2,F2,
partyfav_italy_forza,97,"Q7ITAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Forza Italia (FI)",Nominal,Input,8,Right,F2,F2,
partyfav_italy_demparty,98,"Q7ITAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Democratic Party (PD)",Nominal,Input,8,Right,F2,F2,
partyfav_italy_5star,99,"Q7ITAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Five Star Movement (M5S)",Nominal,Input,8,Right,F2,F2,
partyfav_italy_leganord,100,"Q7ITAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Lega, formerly known as Lega Nord",Nominal,Input,8,Right,F2,F2,
partyfav_italy_fdi,101,"Q7ITAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Fratelli d'Italia (FdI)",Nominal,Input,8,Right,F2,F2,
partyfav_japan_ldp,102,"Q7JPNa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. LDP (Liberal Democratic Party)",Nominal,Input,8,Right,F2,F2,
partyfav_japan_cdp,103,"Q7JPNb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. CDP (Constitutional Democratic Party)",Nominal,Input,8,Right,F2,F2,
partyfav_japan_komeito,104,"Q7JPNc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Komeito",Nominal,Input,8,Right,F2,F2,
partyfav_japan_ishin,105,"Q7JPNd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Japan Innovation Party",Nominal,Input,8,Right,F2,F2,
partyfav_kenya_jubilee,106,"Q7KENa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Jubilee Party",Nominal,Input,24,Right,F2,F2,
partyfav_kenya_uda,107,"Q7KENb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. UDA - United Democratic Alliance",Nominal,Input,20,Right,F2,F2,
partyfav_kenya_odm,108,"Q7KENc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. ODM - Orange Democratic Movement",Nominal,Input,20,Right,F2,F2,
partyfav_malaysia_ph,109,"Q7MYSa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Pakatan Harapan (PH)",Nominal,Input,22,Right,F2,F2,
partyfav_malaysia_bn,110,"Q7MYSb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Barisan Nasional",Nominal,Input,22,Right,F2,F2,
partyfav_malaysia_pas,111,"Q7MYSc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Parti Islam Se-Malaysia (PAS)",Nominal,Input,23,Right,F2,F2,
partyfav_malaysia_pn,112,"Q7MYSd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Perikatan Nasional",Nominal,Input,22,Right,F2,F2,
partyfav_mexico_pan,113,"Q7MEXa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. PAN - Partido Acción Nacional",Nominal,Input,21,Right,F2,F2,
partyfav_mexico_pri,114,"Q7MEXb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. PRI - Partido Revolucionario Institucional",Nominal,Input,21,Right,F2,F2,
partyfav_mexico_morena,115,"Q7MEXc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. MORENA - Movimiento de Regeneracion Nacional",Nominal,Input,24,Right,F2,F2,
partyfav_mexico_prd,116,"Q7MEXd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. PRD - Partido de la Revolución Democrática",Nominal,Input,21,Right,F2,F2,
partyfav_mexico_mc,117,"Q7MEXe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. MC - Movimiento Ciudadano",Nominal,Input,20,Right,F2,F2,
partyfav_netherlands_vvd,118,"Q7NLDa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. People's Party for Freedom and Democracy (VVD)",Nominal,Input,26,Right,F2,F2,
partyfav_netherlands_labour,119,"Q7NLDb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. GroenLinks - Labour Party (PvdA)",Nominal,Input,29,Right,F2,F2,
partyfav_netherlands_pvv,120,"Q7NLDc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. The Party for Freedom (PVV)",Nominal,Input,26,Right,F2,F2,
partyfav_netherlands_nsc,121,"Q7NLDd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. New Social Contract (NSC)",Scale,Input,26,Right,F2,F2,
partyfav_netherlands_dem66,122,"Q7NLDe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Democrats 66 (D66)",Nominal,Input,28,Right,F2,F2,
partyfav_nigeria_apc,123,"Q7NGAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. APC (All Progressives Congress)",Nominal,Input,22,Right,F2,F2,
partyfav_nigeria_pdp,124,"Q7NGAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. PDP (People's Democratic Party)",Nominal,Input,22,Right,F2,F2,
partyfav_nigeria_apga,125,"Q7NGAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. APGA (All Progressive Grand Alliance)",Nominal,Input,23,Right,F2,F2,
partyfav_nigeria_lp,126,"Q7NGAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. LP (Labour Party)",Nominal,Input,21,Right,F2,F2,
partyfav_peru_pf,127,"Q7PERa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Popular Force (FP)",Nominal,Input,18,Right,F2,F2,
partyfav_peru_ap,128,"Q7PERb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Alliance for Progress (APP)",Nominal,Input,18,Right,F2,F2,
partyfav_peru_fp,129,"Q7PERc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Free Peru National Political Party (PL)",Nominal,Input,18,Right,F2,F2,
partyfav_peru_juntos,130,"Q7PERd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Together for Peru (JP)",Nominal,Input,22,Right,F2,F2,
partyfav_philippines_liberal,131,"Q7PHLa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Liberal Party - LP",Nominal,Input,30,Right,F2,F2,
partyfav_philippines_npc,132,"Q7PHLb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Nationalist People's Coalition - NPC",Nominal,Input,26,Right,F2,F2,
partyfav_philippines_pdplaban,133,"Q7PHLc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Partido Demokratiko Pilipino - Lakas ng Bayan - PDP-Laban",Nominal,Input,31,Right,F2,F2,
partyfav_philippines_nacionalista,134,"Q7PHLd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Nacionalista Party – NP",Nominal,Input,34,Right,F2,F2,
partyfav_philippines_laka,135,"Q7PHLe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Lakas Christian Muslim Democrats – Lakas-CMD",Nominal,Input,27,Right,F2,F2,
partyfav_poland_pis,136,"Q7POLa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Law and Justice - PiS",Nominal,Input,21,Right,F2,F2,
partyfav_poland_po,137,"Q7POLb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Civic Coalition KO (Civic Platform - PO + Modern + The Greens + Polish initiative iPL)",Nominal,Input,20,Right,F2,F2,
partyfav_poland_sld,138,"Q7POLc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. The Left (SLD + Spring)",Nominal,Input,21,Right,F2,F2,
partyfav_singapore_pap,139,"Q7SGPa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. People’s Action Party (PAP)",Nominal,Input,24,Right,F2,F2,
partyfav_singapore_wp,140,"Q7SGPb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Workers' Party (WP)",Nominal,Input,23,Right,F2,F2,
partyfav_safrica_anc,141,"Q7ZAFa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. ANC (African National Congress)",Nominal,Input,22,Right,F2,F2,
partyfav_safrica_da,142,"Q7ZAFb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. DA (Democratic Alliance)",Nominal,Input,21,Right,F2,F2,
